    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.0000E+00      0.0000E+00      0.0000E+00
  0.2374E-01      0.0000E+00      0.3976E+07
  0.1004E+00      0.0000E+00      0.1676E+08
  0.3363E+00      0.0000E+00      0.5234E+08
  0.8266E+00      0.0000E+00      0.1309E+09
  0.1518E+01      0.0000E+00      0.2194E+09
  0.2354E+01      0.0000E+00      0.3214E+09
  0.3173E+01      0.0000E+00      0.4078E+09
  0.3776E+01      0.0000E+00      0.4687E+09
  0.4653E+01      0.0000E+00      0.5623E+09
  0.5424E+01      0.0000E+00      0.6387E+09
  0.6009E+01      0.0000E+00      0.6961E+09
  0.6907E+01      0.0000E+00      0.7852E+09
  0.7834E+01      0.0000E+00      0.8753E+09
  0.8756E+01      0.0000E+00      0.9810E+09
  0.9588E+01      0.0000E+00      0.1067E+10
  0.1016E+02      0.0000E+00      0.1112E+10
  0.1101E+02      0.0000E+00      0.1209E+10
  0.1201E+02      0.0000E+00      0.1312E+10
  0.1307E+02      0.0000E+00      0.1381E+10
  0.1376E+02      0.0000E+00      0.1493E+10
  0.1464E+02      0.0000E+00      0.1546E+10
  0.1562E+02      0.0000E+00      0.1664E+10
  0.1662E+02      0.0000E+00      0.1730E+10
  0.1755E+02      0.0000E+00      0.1890E+10
  0.1843E+02      0.0000E+00      0.1936E+10
  0.1904E+02      0.0000E+00      0.2036E+10
  0.1988E+02      0.0000E+00      0.2101E+10
  0.2012E+02      0.0000E+00      0.2127E+10
  0.2087E+02      0.0000E+00      0.2206E+10
  0.2126E+02      0.0000E+00      0.2211E+10
  0.2213E+02      0.0000E+00      0.2237E+10
  0.2322E+02      0.0000E+00      0.2479E+10
  0.2402E+02      0.0000E+00      0.2508E+10
  0.2522E+02      0.0000E+00      0.2659E+10
  0.2618E+02      0.0000E+00      0.2744E+10
  0.2681E+02      0.0000E+00      0.2783E+10
  0.2781E+02      0.0000E+00      0.2891E+10
  0.2892E+02      0.0000E+00      0.2930E+10
  0.2983E+02      0.0000E+00      0.2986E+10
  0.3037E+02      0.0000E+00      0.3236E+10
  0.3072E+02      0.0000E+00      0.3258E+10
  0.3165E+02      0.0000E+00      0.3312E+10
  0.3224E+02      0.0000E+00      0.3321E+10
  0.3326E+02      0.0000E+00      0.3528E+10
  0.3427E+02      0.0000E+00      0.3620E+10
  0.3506E+02      0.0000E+00      0.3653E+10
  0.3525E+02      0.0000E+00      0.3656E+10
  0.3590E+02      0.0000E+00      0.3709E+10
  0.3691E+02      0.0000E+00      0.3857E+10
  0.3760E+02      0.0000E+00      0.3880E+10
  0.3838E+02      0.0000E+00      0.3899E+10
  0.3845E+02      0.0000E+00      0.3900E+10
  0.3894E+02      0.0000E+00      0.3918E+10
  0.3996E+02      0.0000E+00      0.3995E+10
  0.4070E+02      0.0000E+00      0.4113E+10
  0.4076E+02      0.0000E+00      0.4114E+10
  0.4160E+02      0.0000E+00      0.4402E+10
  0.4270E+02      0.0000E+00      0.4461E+10
  0.4398E+02      0.0000E+00      0.4502E+10
  0.4478E+02      0.0000E+00      0.4568E+10
  0.4538E+02      0.0000E+00      0.4784E+10
  0.4660E+02      0.0000E+00      0.4907E+10
  0.4751E+02      0.0000E+00      0.4950E+10
  0.4813E+02      0.0000E+00      0.4959E+10
  0.4926E+02      0.0000E+00      0.5044E+10
  0.4997E+02      0.0000E+00      0.5247E+10
  0.5049E+02      0.0000E+00      0.5262E+10
  0.5096E+02      0.0000E+00      0.5277E+10
  0.5101E+02      0.0000E+00      0.5278E+10
  0.5128E+02      0.0000E+00      0.5282E+10
  0.5135E+02      0.0000E+00      0.5283E+10
  0.5234E+02      0.0000E+00      0.5313E+10
  0.5371E+02      0.0000E+00      0.5347E+10
  0.5466E+02      0.0000E+00      0.5447E+10
  0.5562E+02      0.0000E+00      0.5646E+10
  0.5668E+02      0.0000E+00      0.6007E+10
  0.5763E+02      0.0000E+00      0.6089E+10
  0.5853E+02      0.0000E+00      0.6123E+10
  0.5990E+02      0.0000E+00      0.6170E+10
  0.6053E+02      0.0000E+00      0.6180E+10
  0.6181E+02      0.0000E+00      0.6285E+10
  0.6279E+02      0.0000E+00      0.6592E+10
  0.6363E+02      0.0000E+00      0.6752E+10
  0.6439E+02      0.0000E+00      0.6777E+10
  0.6473E+02      0.0000E+00      0.6823E+10
  0.6481E+02      0.0000E+00      0.6824E+10
  0.6497E+02      0.0000E+00      0.6827E+10
  0.6585E+02      0.0000E+00      0.6845E+10
  0.6641E+02      0.0000E+00      0.6939E+10
  0.6750E+02      0.0000E+00      0.6964E+10
  0.6858E+02      0.0000E+00      0.6981E+10
  0.6932E+02      0.0000E+00      0.7276E+10
  0.6936E+02      0.0000E+00      0.7277E+10
  0.6956E+02      0.0000E+00      0.7281E+10
  0.7035E+02      0.0000E+00      0.7312E+10
  0.7128E+02      0.0000E+00      0.7327E+10
  0.7249E+02      0.0000E+00      0.7361E+10
  0.7386E+02      0.0000E+00      0.7409E+10
  0.7451E+02      0.0000E+00      0.7416E+10
  0.7543E+02      0.0000E+00      0.7564E+10
  0.7614E+02      0.0000E+00      0.7572E+10
  0.7620E+02      0.0000E+00      0.7572E+10
  0.7685E+02      0.0000E+00      0.7638E+10
  0.7780E+02      0.0000E+00      0.7884E+10
  0.7814E+02      0.0000E+00      0.7889E+10
  0.7951E+02      0.0000E+00      0.8484E+10
  0.8088E+02      0.0000E+00      0.8540E+10
  0.8225E+02      0.0000E+00      0.8568E+10
  0.8362E+02      0.0000E+00      0.8611E+10
  0.8383E+02      0.0000E+00      0.8625E+10
  0.8465E+02      0.0000E+00      0.8721E+10
  0.8602E+02      0.0000E+00      0.8791E+10
  0.8633E+02      0.0000E+00      0.8794E+10
  0.8753E+02      0.0000E+00      0.9239E+10
  0.8860E+02      0.0000E+00      0.9468E+10
  0.8947E+02      0.0000E+00      0.9493E+10
  0.9049E+02      0.0000E+00      0.9538E+10
  0.9186E+02      0.0000E+00      0.9607E+10
  0.9214E+02      0.0000E+00      0.9612E+10
  0.9327E+02      0.0000E+00      0.9757E+10
  0.9408E+02      0.0000E+00      0.9772E+10
  0.9545E+02      0.0000E+00      0.9810E+10
  0.9589E+02      0.0000E+00      0.9818E+10
  0.9594E+02      0.0000E+00      0.9819E+10
  0.9635E+02      0.0000E+00      0.9840E+10
  0.9678E+02      0.0000E+00      0.9844E+10
  0.9805E+02      0.0000E+00      0.1028E+11
  0.9817E+02      0.0000E+00      0.1028E+11
  0.9919E+02      0.0000E+00      0.1030E+11
  0.9993E+02      0.0000E+00      0.1032E+11
  0.1005E+03      0.0000E+00      0.1030E+11
  0.1019E+03      0.0000E+00      0.1030E+11
  0.1031E+03      0.0000E+00      0.1030E+11
  0.1044E+03      0.0000E+00      0.1030E+11
  0.1057E+03      0.0000E+00      0.1030E+11
  0.1060E+03      0.0000E+00      0.1031E+11
  0.1061E+03      0.0000E+00      0.1031E+11
  0.1069E+03      0.0000E+00      0.1031E+11
  0.1080E+03      0.0000E+00      0.1032E+11
  0.1094E+03      0.0000E+00      0.1033E+11
  0.1108E+03      0.0000E+00      0.1033E+11
  0.1121E+03      0.2168E+04      0.1034E+11
  0.1133E+03      0.0000E+00      0.1036E+11
  0.1146E+03      0.0000E+00      0.1037E+11
  0.1151E+03      0.0000E+00      0.1038E+11
  0.1159E+03      0.0000E+00      0.1038E+11
  0.1170E+03      0.0000E+00      0.1039E+11
  0.1180E+03      0.0000E+00      0.1039E+11
  0.1193E+03      0.0000E+00      0.1040E+11
  0.1203E+03      0.0000E+00      0.1041E+11
  0.1216E+03      0.0000E+00      0.1041E+11
  0.1222E+03      0.0000E+00      0.1042E+11
  0.1235E+03      0.0000E+00      0.1042E+11
  0.1240E+03      0.0000E+00      0.1043E+11
  0.1245E+03      0.0000E+00      0.1043E+11
  0.1259E+03      0.0000E+00      0.1075E+11
  0.1272E+03      0.0000E+00      0.1077E+11
  0.1283E+03      0.0000E+00      0.1077E+11
  0.1290E+03      0.0000E+00      0.1078E+11
  0.1304E+03      0.0000E+00      0.1147E+11
  0.1318E+03      0.0000E+00      0.1149E+11
  0.1331E+03      0.0000E+00      0.1151E+11
  0.1345E+03      0.0000E+00      0.1152E+11
  0.1357E+03      0.0000E+00      0.1154E+11
  0.1360E+03      0.0000E+00      0.1154E+11
  0.1373E+03      0.0000E+00      0.1155E+11
  0.1387E+03      0.0000E+00      0.1157E+11
  0.1399E+03      0.0000E+00      0.1158E+11
  0.1411E+03      0.0000E+00      0.1177E+11
  0.1423E+03      0.0000E+00      0.1179E+11
  0.1424E+03      0.0000E+00      0.1179E+11
  0.1437E+03      0.0000E+00      0.1180E+11
  0.1450E+03      0.0000E+00      0.1182E+11
  0.1461E+03      0.0000E+00      0.1183E+11
  0.1463E+03      0.0000E+00      0.1183E+11
  0.1475E+03      0.0000E+00      0.1184E+11
  0.1489E+03      0.0000E+00      0.1186E+11
  0.1502E+03      0.0000E+00      0.1191E+11
  0.1512E+03      0.0000E+00      0.1192E+11
  0.1526E+03      0.0000E+00      0.1193E+11
  0.1540E+03      0.0000E+00      0.1195E+11
  0.1553E+03      0.0000E+00      0.1196E+11
  0.1564E+03      0.0000E+00      0.1197E+11
  0.1578E+03      0.0000E+00      0.1199E+11
  0.1592E+03      0.0000E+00      0.1200E+11
  0.1605E+03      0.0000E+00      0.1201E+11
  0.1619E+03      0.0000E+00      0.1202E+11
  0.1633E+03      0.0000E+00      0.1204E+11
  0.1639E+03      0.0000E+00      0.1204E+11
  0.1640E+03      0.0000E+00      0.1204E+11
  0.1651E+03      0.0000E+00      0.1205E+11
  0.1665E+03      0.0000E+00      0.1206E+11
  0.1679E+03      0.0000E+00      0.1207E+11
  0.1692E+03      0.0000E+00      0.1209E+11
  0.1706E+03      0.0000E+00      0.1266E+11
  0.1720E+03      0.0000E+00      0.1268E+11
  0.1733E+03      0.0000E+00      0.1269E+11
  0.1742E+03      0.0000E+00      0.1270E+11
  0.1745E+03      0.0000E+00      0.1271E+11
  0.1746E+03      0.0000E+00      0.1271E+11
  0.1754E+03      0.0000E+00      0.1272E+11
  0.1768E+03      0.0000E+00      0.1273E+11
  0.1780E+03      0.0000E+00      0.1274E+11
  0.1794E+03      0.0000E+00      0.1276E+11
  0.1796E+03      0.0000E+00      0.1276E+11
  0.1797E+03      0.0000E+00      0.1276E+11
  0.1799E+03      0.0000E+00      0.1276E+11
  0.1801E+03      0.0000E+00      0.1276E+11
  0.1806E+03      0.0000E+00      0.1277E+11
  0.1820E+03      0.0000E+00      0.1281E+11
  0.1833E+03      0.0000E+00      0.1282E+11
  0.1847E+03      0.0000E+00      0.1285E+11
  0.1861E+03      0.0000E+00      0.1286E+11
  0.1874E+03      0.0000E+00      0.1288E+11
