    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.0000E+00      0.0000E+00      0.0000E+00
  0.1957E-01      0.0000E+00      0.3260E+07
  0.1549E+00      0.0000E+00      0.2512E+08
  0.5718E+00      0.0000E+00      0.8857E+08
  0.1495E+01      0.0000E+00      0.2174E+09
  0.2388E+01      0.0000E+00      0.3229E+09
  0.3004E+01      0.0000E+00      0.3886E+09
  0.3938E+01      0.0000E+00      0.4903E+09
  0.4624E+01      0.0000E+00      0.5580E+09
  0.4997E+01      0.0000E+00      0.5876E+09
  0.5326E+01      0.0000E+00      0.6279E+09
  0.6491E+01      0.0000E+00      0.7440E+09
  0.7309E+01      0.0000E+00      0.8381E+09
  0.8242E+01      0.0000E+00      0.9207E+09
  0.8870E+01      0.0000E+00      0.9990E+09
  0.9853E+01      0.0000E+00      0.1084E+10
  0.9993E+01      0.0000E+00      0.1087E+10
  0.1061E+02      0.0000E+00      0.1102E+10
  0.1164E+02      0.0000E+00      0.1142E+10
  0.1269E+02      0.0000E+00      0.1169E+10
  0.1394E+02      0.0000E+00      0.1209E+10
  0.1470E+02      0.0000E+00      0.1214E+10
  0.1556E+02      0.0000E+00      0.1218E+10
  0.1665E+02      0.0000E+00      0.1221E+10
  0.1703E+02      0.0000E+00      0.1253E+10
  0.1821E+02      0.0000E+00      0.1268E+10
  0.1924E+02      0.0000E+00      0.1273E+10
  0.1974E+02      0.0000E+00      0.1335E+10
  0.1999E+02      0.0000E+00      0.1336E+10
  0.2081E+02      0.0000E+00      0.1357E+10
  0.2218E+02      0.0000E+00      0.1365E+10
  0.2331E+02      0.0000E+00      0.1371E+10
  0.2446E+02      0.0000E+00      0.1451E+10
  0.2580E+02      0.0000E+00      0.1459E+10
  0.2650E+02      0.0000E+00      0.1462E+10
  0.2773E+02      0.0000E+00      0.1469E+10
  0.2893E+02      0.0000E+00      0.1473E+10
  0.2998E+02      0.0000E+00      0.1476E+10
  0.3029E+02      0.0000E+00      0.1477E+10
  0.3166E+02      0.0000E+00      0.1483E+10
  0.3286E+02      0.0000E+00      0.1529E+10
  0.3423E+02      0.0000E+00      0.1533E+10
  0.3560E+02      0.0000E+00      0.1536E+10
  0.3696E+02      0.0000E+00      0.1624E+10
  0.3833E+02      0.0000E+00      0.1629E+10
  0.3970E+02      0.0000E+00      0.1636E+10
  0.3997E+02      0.0000E+00      0.1637E+10
  0.4107E+02      0.0000E+00      0.1645E+10
  0.4244E+02      0.0000E+00      0.1649E+10
  0.4381E+02      0.0000E+00      0.1652E+10
  0.4518E+02      0.0000E+00      0.1655E+10
  0.4646E+02      0.0000E+00      0.1726E+10
  0.4783E+02      0.0000E+00      0.1732E+10
  0.4920E+02      0.0000E+00      0.1739E+10
  0.4997E+02      0.0000E+00      0.1742E+10
  0.5000E+02      0.0000E+00      0.1742E+10
