    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.0000E+00      0.0000E+00      0.0000E+00
  0.1054E-01      0.0000E+00      0.1860E+07
  0.6431E-01      0.0000E+00      0.1075E+08
  0.2768E+00      0.0000E+00      0.4578E+08
  0.6469E+00      0.0000E+00      0.9503E+08
  0.1727E+01      0.0000E+00      0.2429E+09
  0.2338E+01      0.0000E+00      0.3135E+09
  0.3275E+01      0.0000E+00      0.4120E+09
  0.3904E+01      0.0000E+00      0.4742E+09
  0.4596E+01      0.0000E+00      0.5477E+09
  0.5438E+01      0.0000E+00      0.6320E+09
  0.5990E+01      0.0000E+00      0.6925E+09
  0.6679E+01      0.0000E+00      0.7657E+09
  0.7394E+01      0.0000E+00      0.8289E+09
  0.8227E+01      0.0000E+00      0.9055E+09
  0.8617E+01      0.0000E+00      0.9554E+09
  0.9276E+01      0.0000E+00      0.1008E+10
  0.9845E+01      0.0000E+00      0.1073E+10
  0.1072E+02      0.0000E+00      0.1165E+10
  0.1141E+02      0.0000E+00      0.1225E+10
  0.1209E+02      0.0000E+00      0.1311E+10
  0.1252E+02      0.0000E+00      0.1322E+10
  0.1312E+02      0.0000E+00      0.1405E+10
  0.1379E+02      0.0000E+00      0.1477E+10
  0.1471E+02      0.0000E+00      0.1530E+10
  0.1539E+02      0.0000E+00      0.1637E+10
  0.1580E+02      0.0000E+00      0.1644E+10
  0.1649E+02      0.0000E+00      0.1758E+10
  0.1737E+02      0.0000E+00      0.1801E+10
  0.1778E+02      0.0000E+00      0.1867E+10
  0.1842E+02      0.0000E+00      0.1910E+10
  0.1941E+02      0.0000E+00      0.2067E+10
  0.2010E+02      0.0000E+00      0.2088E+10
  0.2054E+02      0.0000E+00      0.2099E+10
  0.2099E+02      0.0000E+00      0.2241E+10
  0.2150E+02      0.0000E+00      0.2273E+10
  0.2162E+02      0.0000E+00      0.2281E+10
  0.2234E+02      0.0000E+00      0.2302E+10
  0.2314E+02      0.0000E+00      0.2402E+10
  0.2383E+02      0.0000E+00      0.2459E+10
  0.2437E+02      0.0000E+00      0.2487E+10
  0.2505E+02      0.0000E+00      0.2557E+10
  0.2565E+02      0.0000E+00      0.2697E+10
  0.2619E+02      0.0000E+00      0.2709E+10
  0.2698E+02      0.0000E+00      0.2720E+10
  0.2754E+02      0.0000E+00      0.2929E+10
  0.2782E+02      0.0000E+00      0.2944E+10
  0.2838E+02      0.0000E+00      0.2979E+10
  0.2975E+02      0.0000E+00      0.3038E+10
  0.3062E+02      0.0000E+00      0.3160E+10
  0.3123E+02      0.0000E+00      0.3218E+10
  0.3172E+02      0.0000E+00      0.3233E+10
  0.3280E+02      0.0000E+00      0.3276E+10
  0.3323E+02      0.0000E+00      0.3372E+10
  0.3406E+02      0.0000E+00      0.3570E+10
  0.3473E+02      0.0000E+00      0.3585E+10
  0.3516E+02      0.0000E+00      0.3592E+10
  0.3522E+02      0.0000E+00      0.3593E+10
  0.3547E+02      0.0000E+00      0.3597E+10
  0.3675E+02      0.0000E+00      0.3769E+10
  0.3721E+02      0.0000E+00      0.3929E+10
  0.3759E+02      0.0000E+00      0.3959E+10
  0.3767E+02      0.0000E+00      0.3961E+10
  0.3817E+02      0.0000E+00      0.3992E+10
  0.3928E+02      0.0000E+00      0.4024E+10
  0.4005E+02      0.0000E+00      0.4063E+10
  0.4109E+02      0.0000E+00      0.4227E+10
  0.4143E+02      0.0000E+00      0.4233E+10
  0.4153E+02      0.0000E+00      0.4234E+10
  0.4226E+02      0.0000E+00      0.4315E+10
  0.4340E+02      0.0000E+00      0.4391E+10
  0.4399E+02      0.0000E+00      0.4406E+10
  0.4463E+02      0.0000E+00      0.4534E+10
  0.4493E+02      0.0000E+00      0.4540E+10
  0.4548E+02      0.0000E+00      0.4556E+10
  0.4667E+02      0.0000E+00      0.4828E+10
  0.4696E+02      0.0000E+00      0.4834E+10
  0.4766E+02      0.0000E+00      0.4851E+10
  0.4779E+02      0.0000E+00      0.4853E+10
  0.4877E+02      0.0000E+00      0.4961E+10
  0.4997E+02      0.0000E+00      0.5116E+10
  0.5013E+02      0.0000E+00      0.5321E+10
