    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.0000E+00      0.0000E+00      0.0000E+00
  0.3147E-01      0.0000E+00      0.6293E+07
  0.2726E+00      0.0000E+00      0.4994E+08
  0.8832E+00      0.0000E+00      0.1487E+09
  0.1669E+01      0.0000E+00      0.2625E+09
  0.2161E+01      0.0000E+00      0.3212E+09
  0.3051E+01      0.0000E+00      0.4365E+09
  0.3751E+01      0.0000E+00      0.5066E+09
  0.4464E+01      0.0000E+00      0.6044E+09
  0.5139E+01      0.0000E+00      0.6850E+09
  0.5863E+01      0.0000E+00      0.7419E+09
  0.6825E+01      0.0000E+00      0.8636E+09
  0.8017E+01      0.0000E+00      0.1037E+10
  0.8513E+01      0.0000E+00      0.1055E+10
  0.9031E+01      0.0000E+00      0.1156E+10
  0.9901E+01      0.0000E+00      0.1287E+10
  0.1106E+02      0.0000E+00      0.1362E+10
  0.1208E+02      0.0000E+00      0.1510E+10
  0.1281E+02      0.0000E+00      0.1639E+10
  0.1371E+02      0.0000E+00      0.1664E+10
  0.1458E+02      0.0000E+00      0.1741E+10
  0.1535E+02      0.0000E+00      0.1893E+10
  0.1630E+02      0.0000E+00      0.1968E+10
  0.1720E+02      0.0000E+00      0.2147E+10
  0.1820E+02      0.0000E+00      0.2172E+10
  0.1905E+02      0.0000E+00      0.2273E+10
  0.2029E+02      0.0000E+00      0.2489E+10
  0.2163E+02      0.0000E+00      0.2593E+10
  0.2242E+02      0.0000E+00      0.2827E+10
  0.2327E+02      0.0000E+00      0.2854E+10
  0.2416E+02      0.0000E+00      0.2874E+10
  0.2520E+02      0.0000E+00      0.3024E+10
  0.2627E+02      0.0000E+00      0.3037E+10
  0.2720E+02      0.0000E+00      0.3288E+10
  0.2799E+02      0.0000E+00      0.3348E+10
  0.2889E+02      0.0000E+00      0.3490E+10
  0.2982E+02      0.0000E+00      0.3690E+10
  0.3102E+02      0.0000E+00      0.3834E+10
  0.3210E+02      0.0000E+00      0.3868E+10
  0.3332E+02      0.0000E+00      0.3918E+10
  0.3413E+02      0.0000E+00      0.3930E+10
  0.3487E+02      0.0000E+00      0.4119E+10
  0.3588E+02      0.0000E+00      0.4133E+10
  0.3640E+02      0.0000E+00      0.4450E+10
  0.3647E+02      0.0000E+00      0.4452E+10
  0.3756E+02      0.0000E+00      0.4506E+10
  0.3827E+02      0.0000E+00      0.4587E+10
  0.3955E+02      0.0000E+00      0.4758E+10
  0.4045E+02      0.0000E+00      0.4795E+10
  0.4158E+02      0.0000E+00      0.5115E+10
  0.4276E+02      0.0000E+00      0.5280E+10
  0.4375E+02      0.0000E+00      0.5329E+10
  0.4510E+02      0.0000E+00      0.5394E+10
  0.4606E+02      0.0000E+00      0.5421E+10
  0.4712E+02      0.0000E+00      0.5435E+10
  0.4785E+02      0.0000E+00      0.5442E+10
  0.4825E+02      0.0000E+00      0.5677E+10
  0.4913E+02      0.0000E+00      0.5714E+10
  0.4980E+02      0.0000E+00      0.5725E+10
  0.4997E+02      0.0000E+00      0.5740E+10
  0.5073E+02      0.0000E+00      0.5751E+10
  0.5158E+02      0.0000E+00      0.5761E+10
  0.5203E+02      0.0000E+00      0.6228E+10
  0.5280E+02      0.0000E+00      0.6297E+10
  0.5369E+02      0.0000E+00      0.6403E+10
  0.5475E+02      0.0000E+00      0.6607E+10
  0.5607E+02      0.0000E+00      0.6662E+10
  0.5744E+02      0.0000E+00      0.6774E+10
  0.5847E+02      0.0000E+00      0.6796E+10
  0.5971E+02      0.0000E+00      0.7417E+10
  0.6093E+02      0.0000E+00      0.7470E+10
  0.6212E+02      0.0000E+00      0.7497E+10
  0.6295E+02      0.0000E+00      0.7549E+10
  0.6402E+02      0.0000E+00      0.7612E+10
  0.6438E+02      0.0000E+00      0.7619E+10
  0.6445E+02      0.0000E+00      0.7620E+10
  0.6458E+02      0.0000E+00      0.7623E+10
  0.6463E+02      0.0000E+00      0.7624E+10
  0.6529E+02      0.0000E+00      0.7636E+10
  0.6637E+02      0.0000E+00      0.7657E+10
  0.6746E+02      0.0000E+00      0.7692E+10
  0.6814E+02      0.0000E+00      0.7701E+10
  0.6941E+02      0.0000E+00      0.8052E+10
  0.7021E+02      0.0000E+00      0.8113E+10
  0.7115E+02      0.0000E+00      0.8137E+10
  0.7222E+02      0.0000E+00      0.8162E+10
  0.7302E+02      0.0000E+00      0.8173E+10
  0.7439E+02      0.0000E+00      0.8424E+10
  0.7549E+02      0.0000E+00      0.8443E+10
  0.7578E+02      0.0000E+00      0.8460E+10
  0.7595E+02      0.0000E+00      0.8462E+10
  0.7669E+02      0.0000E+00      0.9330E+10
  0.7797E+02      0.0000E+00      0.9468E+10
  0.7888E+02      0.0000E+00      0.9493E+10
  0.7968E+02      0.0000E+00      0.9564E+10
  0.7973E+02      0.0000E+00      0.9565E+10
  0.8008E+02      0.0000E+00      0.9574E+10
  0.8011E+02      0.0000E+00      0.9574E+10
  0.8018E+02      0.0000E+00      0.9576E+10
  0.8027E+02      0.0000E+00      0.9578E+10
  0.8048E+02      0.0000E+00      0.9584E+10
  0.8175E+02      0.0000E+00      0.9615E+10
  0.8305E+02      0.0000E+00      0.9678E+10
  0.8425E+02      0.0000E+00      0.9751E+10
  0.8562E+02      0.0000E+00      0.1008E+11
  0.8617E+02      0.0000E+00      0.1009E+11
  0.8700E+02      0.0000E+00      0.1010E+11
  0.8829E+02      0.0000E+00      0.1072E+11
  0.8920E+02      0.0000E+00      0.1077E+11
  0.9032E+02      0.0000E+00      0.1083E+11
  0.9120E+02      0.0000E+00      0.1085E+11
  0.9235E+02      0.0000E+00      0.1096E+11
  0.9318E+02      0.0000E+00      0.1098E+11
  0.9455E+02      0.0000E+00      0.1103E+11
  0.9574E+02      0.0000E+00      0.1107E+11
  0.9711E+02      0.0000E+00      0.1110E+11
  0.9767E+02      0.0000E+00      0.1111E+11
  0.9862E+02      0.0000E+00      0.1113E+11
  0.9943E+02      0.0000E+00      0.1116E+11
  0.9993E+02      0.0000E+00      0.1119E+11
  0.1002E+03      0.0000E+00      0.1118E+11
  0.1012E+03      0.0000E+00      0.1117E+11
  0.1026E+03      0.0000E+00      0.1115E+11
  0.1037E+03      0.0000E+00      0.1180E+11
  0.1049E+03      0.0000E+00      0.1196E+11
  0.1061E+03      0.0000E+00      0.1196E+11
  0.1072E+03      0.0000E+00      0.1197E+11
  0.1086E+03      0.0000E+00      0.1197E+11
  0.1097E+03      0.0000E+00      0.1201E+11
  0.1108E+03      0.0000E+00      0.1202E+11
  0.1119E+03      0.0000E+00      0.1202E+11
  0.1131E+03      0.0000E+00      0.1203E+11
  0.1144E+03      0.0000E+00      0.1203E+11
  0.1158E+03      0.0000E+00      0.1206E+11
  0.1171E+03      0.0000E+00      0.1207E+11
  0.1183E+03      0.0000E+00      0.1208E+11
  0.1196E+03      0.0000E+00      0.1209E+11
  0.1209E+03      0.0000E+00      0.1209E+11
  0.1223E+03      0.0000E+00      0.1210E+11
  0.1235E+03      0.0000E+00      0.1211E+11
  0.1247E+03      0.0000E+00      0.1310E+11
  0.1261E+03      0.0000E+00      0.1312E+11
  0.1275E+03      0.0000E+00      0.1314E+11
  0.1288E+03      0.0000E+00      0.1316E+11
  0.1302E+03      0.0000E+00      0.1318E+11
  0.1314E+03      0.0000E+00      0.1320E+11
  0.1328E+03      0.0000E+00      0.1322E+11
