    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.0000E+00      0.0000E+00      0.0000E+00
  0.1658E-01      0.0000E+00      0.2971E+07
  0.8453E-01      0.0000E+00      0.1448E+08
  0.2910E+00      0.1349E+02      0.4536E+08
  0.6878E+00      0.5950E+02      0.1002E+09
  0.1590E+01      0.7538E+03      0.2181E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
  0.2641E+01      0.1794E+04      0.3452E+09
